year,stock,price,count,return,action
2006,2498,272.26,2.0,1.2998806397708285,sell
2007,2448,128.93,6.0,1.4828062104657849,sell
2007,3474,25.22,16.0,0.749479940564636,sell
2007,2353,53.87,10.0,0.0,buy
2007,2331,11.81,46.0,0.0,buy
2007,6244,191.05,2.0,0.9249576373759381,sell
2007,5203,110.68,4.0,0.9040267908192436,sell
2007,8076,198.22,2.0,0.0,buy
2007,2475,10.59,51.0,0.0,buy
2007,3702,27.97,19.0,0.0,buy
2007,1440,11.68,38.0,0.8208011243851019,sell
2007,2915,26.02,21.0,0.0,buy
2007,1314,11.8,46.0,0.0,buy
2007,2511,16.16,29.0,0.8706896551724137,sell
2007,2391,39.17,13.0,0.0,buy
2007,2377,22.68,24.0,0.0,buy
2007,2451,83.96,8.0,1.23234991927198,sell
2007,1722,74.7,7.0,0.0,buy
2007,2379,100.95,6.0,1.1716573816155988,sell
2007,2352,32.8,16.0,0.0,buy
2007,2376,17.9,30.0,0.0,buy
2007,2388,42.99,5.0,0.4525263157894737,sell
2007,2617,47.2,11.0,0.0,buy
2007,2385,43.54,12.0,0.0,buy
2007,2603,27.33,20.0,0.0,buy
2007,2371,15.75,34.0,0.0,buy
2007,1434,26.04,21.0,0.0,buy
2007,2356,12.88,31.0,0.7314026121521864,sell
2007,1102,38.71,14.0,0.0,buy
2007,2489,23.09,23.0,0.0,buy
2007,9907,11.53,46.0,0.9804421768707482,sell
2007,8046,179.04,3.0,1.085748938750758,sell
2007,3514,168.28,3.0,0.0,buy
2007,2454,348.43,2.0,1.3706923682140049,sell
2007,2485,78.83,6.0,0.0,buy
2007,1313,15.26,41.0,1.151698113207547,sell
2007,8008,22.31,24.0,0.0,buy
2007,2347,55.77,9.0,0.0,buy
2007,5387,8.7,42.0,0.6600910470409712,sell
2008,2475,3.34,51.0,0.3153918791312559,sell
2008,3702,12.4,19.0,0.4433321415802646,sell
2008,3474,7.91,68.0,0.0,buy
2008,2353,39.45,10.0,0.7323185446445146,sell
2008,1314,6.22,46.0,0.5271186440677965,sell
2008,2915,18.52,21.0,0.711760184473482,sell
2008,2485,32.99,6.0,0.41849549663833563,sell
2008,3514,50.43,3.0,0.2996791062514856,sell
2008,2391,16.82,13.0,0.4294102629563441,sell
2008,2376,10.44,30.0,0.5832402234636871,sell
2008,2331,5.65,46.0,0.4784081287044878,sell
2008,1722,50.49,7.0,0.6759036144578313,sell
2008,1434,15.37,21.0,0.5902457757296466,sell
2008,2371,6.09,34.0,0.38666666666666666,sell
2008,3083,93.12,5.0,0.0,buy
2008,8008,12.07,24.0,0.5410129986553116,sell
2008,1102,26.23,14.0,0.6776026866442779,sell
2008,2377,14.24,24.0,0.6278659611992946,sell
2008,2603,15.45,20.0,0.5653128430296378,sell
2008,2347,26.69,9.0,0.47857270934194013,sell
2008,2352,6.5,16.0,0.19817073170731708,sell
2008,2385,26.57,12.0,0.6102434542949012,sell
2008,2617,35.48,15.0,0.0,buy
