date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR
2005-12-13,1103,670900,8784596,13.45,13.45,13.0,13.1,-0.3,176,0.0,0.88
2005-12-14,1103,329218,4277340,13.1,13.1,12.9,12.95,-0.15,147,0.0,0.87
2005-12-15,1103,169056,2187345,12.9,13.0,12.8,13.0,0.05,59,0.0,0.88
2005-12-16,1103,161948,2110005,13.0,13.1,12.95,13.0,0.0,90,0.0,0.88
2005-12-19,1103,486004,6469591,13.0,13.5,13.0,13.5,0.5,196,0.0,0.91
2005-12-20,1103,203720,2713613,13.45,13.5,13.25,13.35,-0.15,99,0.0,0.9
2005-12-21,1103,777414,10236017,13.35,13.35,13.0,13.3,-0.05,193,0.0,0.9
2005-12-22,1103,749966,9789955,13.3,13.3,12.95,13.0,-0.3,190,0.0,0.88
2005-12-23,1103,869954,11270752,13.0,13.1,12.8,13.1,0.1,217,0.0,0.88
2005-12-26,1103,395262,5143625,12.9,13.1,12.9,13.05,-0.05,97,0.0,0.88
2005-12-27,1103,600048,7845763,13.0,13.15,13.0,13.1,0.05,142,0.0,0.88
2005-12-28,1103,378800,4952052,13.05,13.15,13.0,13.1,0.0,98,0.0,0.88
2005-12-29,1103,868549,11380849,13.15,13.2,13.0,13.0,-0.1,163,0.0,0.88
2005-12-30,1103,630360,8180800,13.0,13.1,12.9,12.9,-0.1,122,0.0,0.87
2006-01-02,1103,474314,6094450,12.85,12.95,12.8,12.9,0.0,111,0.0,0.87
2006-01-03,1103,709504,9214223,13.0,13.05,12.9,13.0,0.1,109,0.0,0.88
2006-01-04,1103,437083,5695199,13.05,13.15,12.9,12.9,-0.1,120,0.0,0.87
2006-01-05,1103,431990,5593264,12.9,13.05,12.9,12.9,0.0,107,0.0,0.87
2006-01-06,1103,450228,5828511,12.95,13.0,12.9,12.95,0.05,110,0.0,0.87
2006-01-09,1103,670619,8702926,12.95,13.05,12.9,13.05,0.1,148,0.0,0.88
2006-01-10,1103,220604,2859505,13.05,13.05,12.9,13.0,-0.05,83,0.0,0.88
2006-01-11,1103,883558,11545920,13.0,13.2,12.9,13.2,0.2,269,0.0,0.89
2006-01-12,1103,667495,8816155,13.2,13.3,13.15,13.2,0.0,146,0.0,0.89
2006-01-13,1103,877500,11612020,13.2,13.35,13.1,13.2,0.0,182,0.0,0.89
2006-01-16,1103,591376,7854990,13.2,13.35,13.2,13.3,0.1,144,0.0,0.9
2006-01-17,1103,376325,4939875,13.3,13.3,13.1,13.1,-0.2,127,0.0,0.88
2006-01-18,1103,878566,11338078,13.0,13.1,12.7,13.05,-0.05,170,0.0,0.88
2006-01-19,1103,600452,7668989,12.8,12.9,12.7,12.8,-0.25,134,0.0,0.86
2006-01-20,1103,499704,6330282,12.7,12.75,12.5,12.6,-0.2,121,0.0,0.85
2006-01-23,1103,431856,5358535,12.5,12.5,12.35,12.35,-0.25,102,0.0,0.83
2006-01-24,1103,329722,4084278,12.4,12.45,12.3,12.35,0.0,112,0.0,0.83
2006-01-25,1103,458747,5690758,12.35,12.5,12.35,12.5,0.15,98,0.0,0.84
2006-02-03,1103,368913,4637964,12.5,12.7,12.5,12.55,0.05,78,0.0,0.85
2006-02-06,1103,325233,4098233,12.55,12.7,12.5,12.7,0.15,117,0.0,0.86
2006-02-07,1103,764296,9822768,12.75,12.95,12.75,12.85,0.15,185,0.0,0.87
2006-02-08,1103,269759,3466987,12.85,12.9,12.8,12.8,-0.05,68,0.0,0.86
2006-02-09,1103,442129,5672082,12.75,12.85,12.75,12.8,0.0,95,0.0,0.86
2006-02-10,1103,170011,2171933,12.75,12.8,12.75,12.75,-0.05,66,0.0,0.86
2006-02-13,1103,284379,3611871,12.75,12.75,12.6,12.7,-0.05,95,0.0,0.86
2006-02-14,1103,221940,2789898,12.7,12.7,12.55,12.6,-0.1,81,0.0,0.85
2006-02-15,1103,223387,2811866,12.65,12.65,12.55,12.55,-0.05,54,0.0,0.85
2006-02-16,1103,405631,5053416,12.5,12.55,12.4,12.5,-0.05,145,0.0,0.84
2006-02-17,1103,337848,4205717,12.5,12.5,12.4,12.45,-0.05,70,0.0,0.84
2006-02-20,1103,465775,5791118,12.45,12.5,12.35,12.45,0.0,86,0.0,0.84
2006-02-21,1103,272141,3384878,12.4,12.5,12.4,12.4,-0.05,64,0.0,0.84
2006-02-22,1103,388691,4809745,12.4,12.4,12.35,12.4,0.0,94,0.0,0.84
2006-02-23,1103,412854,5144772,12.4,12.55,12.35,12.5,0.1,120,0.0,0.84
2006-02-24,1103,205801,2571116,12.5,12.55,12.45,12.55,0.05,68,0.0,0.85
2006-02-27,1103,130266,1629294,12.55,12.55,12.45,12.5,-0.05,47,0.0,0.84
2006-03-01,1103,284242,3525420,12.45,12.5,12.3,12.5,0.0,91,0.0,0.84
2006-03-02,1103,459412,5733404,12.5,12.55,12.4,12.5,0.0,77,0.0,0.84
2006-03-03,1103,1137376,14376633,12.5,12.85,12.5,12.65,0.15,282,0.0,0.85
2006-03-06,1103,339264,4252953,12.7,12.7,12.4,12.65,0.0,97,0.0,0.85
2006-03-07,1103,159329,1998461,12.5,12.6,12.45,12.6,-0.05,55,0.0,0.85
2006-03-08,1103,168501,2105785,12.55,12.6,12.45,12.6,0.0,55,0.0,0.85
2006-03-09,1103,440183,5560593,12.6,12.7,12.6,12.7,0.1,95,0.0,0.86
2006-03-10,1103,391452,4969293,12.7,12.75,12.6,12.75,0.05,109,0.0,0.86
2006-03-13,1103,3141880,41559209,13.1,13.55,13.0,13.35,0.6,748,0.0,0.9
2006-03-14,1103,2952750,40174453,13.35,13.8,13.35,13.55,0.2,621,0.0,0.91
2006-03-15,1103,1796522,24500895,13.6,13.75,13.55,13.65,0.1,339,0.0,0.92
2006-03-16,1103,1300589,17637930,13.65,13.75,13.3,13.45,-0.2,329,0.0,0.91
2006-03-17,1103,1519501,20363705,13.45,13.5,13.25,13.45,0.0,199,0.0,0.91
2006-03-20,1103,874969,11567082,13.0,13.45,13.0,13.45,0.0,228,0.0,0.91
2006-03-21,1103,2708619,36125867,13.45,13.45,13.2,13.35,-0.1,288,0.0,0.9
2006-03-22,1103,949943,12460843,13.2,13.3,13.0,13.3,-0.05,212,0.0,0.9
2006-03-23,1103,245624,3253439,13.3,13.3,13.15,13.2,-0.1,91,0.0,0.89
2006-03-24,1103,128142,1677846,13.15,13.2,13.05,13.1,-0.1,58,0.0,0.88
2006-03-27,1103,524126,6920491,13.1,13.3,13.1,13.2,0.1,93,0.0,0.89
2006-03-28,1103,221282,2918627,13.2,13.2,13.1,13.2,0.0,58,0.0,0.89
2006-03-29,1103,395198,5176330,13.2,13.2,13.0,13.2,0.0,96,0.0,0.89
2006-03-30,1103,313994,4126768,13.05,13.2,13.05,13.2,0.0,75,0.0,0.89
2006-03-31,1103,719247,9489917,13.2,13.25,13.05,13.2,0.0,194,0.0,0.89
2006-04-03,1103,324991,4293323,13.2,13.3,13.15,13.2,0.0,96,0.0,0.89
2006-04-04,1103,1550462,20786735,13.2,13.6,13.2,13.5,0.3,222,0.0,0.91
2006-04-06,1103,1352191,18329952,13.5,13.65,13.45,13.55,0.05,201,0.0,0.91
2006-04-07,1103,1839535,25215691,13.6,13.8,13.55,13.7,0.15,321,0.0,0.92
2006-04-10,1103,772775,10526333,13.65,13.7,13.55,13.55,-0.15,156,0.0,0.91
2006-04-11,1103,438342,5921395,13.5,13.55,13.45,13.55,0.0,93,0.0,0.91
2006-04-12,1103,4327792,61355228,13.5,14.45,13.5,14.4,0.85,787,0.0,0.97
2006-04-13,1103,4407116,64832135,14.4,14.9,14.4,14.8,0.4,634,0.0,1.0
2006-04-14,1103,3173116,47568759,14.9,15.3,14.6,15.0,0.2,639,0.0,1.01
2006-04-17,1103,2965524,44691810,15.0,15.2,14.8,15.15,0.15,571,0.0,1.02
2006-04-18,1103,2391322,35924030,15.0,15.15,14.8,15.15,0.0,840,0.0,1.02
2006-04-19,1103,5008425,77034001,15.2,15.7,14.9,15.0,-0.15,946,0.0,1.01
2006-04-20,1103,1845891,27458475,15.05,15.1,14.7,14.95,-0.05,393,0.0,1.01
2006-04-21,1103,2447674,36392519,14.95,15.0,14.6,14.95,0.0,444,0.0,1.01
2006-04-24,1103,8112101,126056195,14.95,15.95,14.8,15.95,1.0,1339,0.0,1.07
2006-04-25,1103,9858834,163966351,16.3,17.05,16.0,16.4,0.45,1860,0.0,1.11
2006-04-26,1103,5176106,83061460,16.2,16.6,15.6,16.4,0.0,880,0.0,1.11
2006-04-27,1103,9451872,159375137,16.4,17.3,16.05,17.0,0.6,1683,0.0,1.15
2006-04-28,1103,6347572,107624959,17.0,17.1,16.45,17.1,0.1,1241,0.0,1.11
2006-05-02,1103,6582859,119432662,17.8,18.25,17.8,18.25,1.15,876,57.03,1.19
2006-05-03,1103,8908356,173712931,19.5,19.5,19.5,19.5,1.25,1113,60.94,1.04
2006-05-04,1103,33908846,696427705,20.85,20.85,20.0,20.45,0.95,5246,5.01,1.09
2006-05-05,1103,13526278,276513252,20.5,20.85,20.0,20.1,-0.35,2373,4.93,1.08
2006-05-08,1103,19763162,418518680,20.7,21.5,20.7,21.3,1.2,3234,5.22,1.14
2006-05-09,1103,9529300,197595508,21.35,21.4,20.4,20.45,-0.85,1922,5.01,1.09
2006-05-10,1103,37817513,819032073,21.0,21.85,21.0,21.2,0.75,4450,5.2,1.13
2006-05-11,1103,9288352,192453721,21.15,21.3,20.2,20.5,-0.7,1841,5.02,1.1
2006-05-12,1103,9669065,201402221,20.1,21.35,20.05,20.6,0.1,1988,5.05,1.1
2006-05-15,1103,9896693,206690913,20.6,21.2,20.5,20.7,0.1,1740,5.07,1.11
