date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice
2006-04-07,1528,707245,8421640,12.1,12.1,11.8,11.95,-0.05,142,2006,12.71,0.92,0,0.0
2006-04-10,1528,1220069,14575353,12.0,12.1,11.75,11.8,-0.15,241,2006,12.55,0.91,0,0.0
2006-04-11,1528,280972,3302275,11.9,11.9,11.7,11.7,-0.1,97,2006,12.45,0.9,0,0.0
2006-04-12,1528,776725,9236010,11.65,12.0,11.65,12.0,0.3,207,2006,12.77,0.92,0,0.0
2006-04-13,1528,1335211,16099044,12.05,12.3,11.85,11.95,-0.05,315,2006,12.71,0.92,0,0.0
2006-04-14,1528,1308256,15764444,12.0,12.15,11.9,12.0,0.05,240,2006,12.77,0.92,0,0.0
2006-04-17,1528,4789995,59924826,12.1,12.8,12.05,12.8,0.8,789,2006,13.62,0.98,0,0.0
2006-04-18,1528,1690260,21282675,12.8,12.8,12.4,12.6,-0.2,427,2006,13.4,0.97,0,0.0
2006-04-19,1528,2840342,36787174,12.7,13.3,12.55,12.9,0.3,589,2006,13.72,0.99,0,0.0
2006-04-20,1528,2209978,28481268,13.05,13.1,12.65,12.9,0.0,454,2006,13.72,0.99,0,0.0
2006-04-21,1528,6897086,90530630,13.0,13.45,12.6,12.75,-0.15,1263,2006,13.56,0.98,0,0.0
2006-04-24,1528,2184625,28024343,12.7,13.0,12.6,12.65,-0.1,595,2006,13.46,0.97,0,0.0
2006-04-25,1528,1209306,15425474,12.6,12.95,12.6,12.65,0.0,270,2006,13.46,0.97,0,0.0
2006-04-26,1528,1957048,25279452,12.7,13.05,12.7,12.7,0.05,447,2006,13.51,0.98,0,0.0
2006-04-27,1528,1403834,18081847,12.8,13.05,12.75,12.8,0.1,295,2006,13.62,0.98,0,0.0
2006-04-28,1528,978425,12636195,12.9,13.0,12.8,12.9,0.1,203,2006,13.72,0.92,0,0.0
2006-05-02,1528,4325616,57976225,12.95,13.7,12.95,13.3,0.4,767,2006,11.67,0.95,0,0.0
2006-05-03,1528,2038456,27242016,13.6,13.6,13.2,13.3,0.0,416,2006,12.67,0.94,0,0.0
2006-05-04,1528,2702872,36920005,13.35,13.95,13.35,13.7,0.4,594,2006,10.7,0.97,0,0.0
2006-05-05,1528,2322660,32141270,13.9,14.1,13.7,13.85,0.15,451,2006,10.82,0.98,0,0.0
2006-05-08,1528,3162010,45236786,13.95,14.6,13.95,14.6,0.75,591,2006,11.41,1.03,0,0.0
2006-05-09,1528,3220998,46359418,14.65,14.8,14.0,14.6,0.0,611,2006,11.41,1.03,0,0.0
2006-05-10,1528,6131863,90309057,14.55,14.95,14.45,14.55,-0.05,1036,2006,11.37,1.03,0,0.0
2006-05-11,1528,2993100,43155107,14.5,14.75,14.2,14.75,0.2,511,2006,11.52,1.04,0,0.0
2006-05-12,1528,12036416,181033664,14.5,15.3,14.5,15.0,0.25,1571,2006,11.72,1.06,0,0.0
2006-05-15,1528,3640587,54330658,15.0,15.1,14.6,14.6,-0.4,616,2006,11.41,1.03,0,0.0
2006-05-16,1528,2918235,41730362,14.8,14.8,13.95,13.95,-0.65,554,2006,10.9,0.99,0,0.0
2006-05-17,1528,1262940,17573718,14.05,14.1,13.6,13.9,-0.05,283,2006,10.86,0.98,0,0.0
2006-05-18,1528,1801206,25033897,13.7,14.05,13.7,13.9,0.0,241,2006,10.86,0.98,0,0.0
2006-05-19,1528,1193089,16922057,14.0,14.4,13.8,14.4,0.5,273,2006,11.25,1.02,0,0.0
2006-05-22,1528,1727433,24797662,14.5,14.7,13.95,13.95,-0.45,310,2006,10.9,0.99,0,0.0
2006-05-23,1528,2379685,34188923,14.1,14.6,13.95,14.2,0.25,497,2006,11.09,1.0,0,0.0
2006-05-24,1528,1687878,24410492,14.5,14.65,14.2,14.4,0.2,407,2006,11.25,1.02,0,0.0
2006-05-25,1528,2713045,39772959,14.45,14.9,14.3,14.75,0.35,590,2006,11.52,1.04,0,0.0
2006-05-26,1528,3758391,56210868,15.05,15.2,14.6,14.6,-0.15,733,2006,11.41,1.03,0,0.0
2006-05-29,1528,2956501,42220063,14.9,14.9,13.8,13.8,-0.8,502,2006,10.78,0.97,0,0.0
2006-05-30,1528,1859421,25834850,13.8,14.1,13.65,14.0,0.2,400,2006,10.94,0.99,0,0.0
2006-06-01,1528,1110949,15641683,14.1,14.25,13.95,13.95,-0.05,321,2006,10.9,0.99,0,0.0
2006-06-02,1528,1056025,14935301,14.1,14.3,14.0,14.1,0.15,234,2006,11.02,1.0,0,0.0
2006-06-05,1528,1138076,15864333,14.35,14.35,13.7,13.75,-0.35,271,2006,10.74,0.97,0,0.0
2006-06-06,1528,1344000,18273900,13.75,13.9,13.35,13.6,-0.15,250,2006,10.63,0.96,0,0.0
2006-06-07,1528,854010,11640433,13.5,13.85,13.4,13.55,-0.05,175,2006,10.59,0.96,0,0.0
