date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2005-11-03,1107,353690,147865,0.4,0.43,0.4,0.43,0.02,38,3.07,0.16,2005,0,0.0
2005-11-04,1107,686959,315263,0.43,0.46,0.43,0.46,0.03,79,3.29,0.17,2005,0,0.0
2005-11-07,1107,515397,245183,0.49,0.49,0.44,0.48,0.02,51,3.43,0.18,2005,0,0.0
2005-11-08,1107,519000,249320,0.48,0.5,0.46,0.46,-0.02,26,3.29,0.17,2005,0,0.0
2005-11-09,1107,440523,193531,0.45,0.46,0.43,0.43,-0.03,42,3.07,0.16,2005,0,0.0
2005-11-10,1107,422000,179250,0.43,0.43,0.42,0.42,-0.01,28,3.0,0.16,2005,0,0.0
2005-11-11,1107,490870,205815,0.43,0.43,0.41,0.41,-0.01,37,2.93,0.15,2005,0,0.0
2005-11-14,1107,539598,217425,0.41,0.41,0.39,0.41,0.0,44,2.93,0.15,2005,0,0.0
2005-11-15,1107,545999,216759,0.41,0.41,0.39,0.39,-0.02,32,2.79,0.15,2005,0,0.0
2005-11-16,1107,484000,181520,0.38,0.39,0.37,0.38,-0.01,43,2.71,0.14,2005,0,0.0
2005-11-17,1107,243000,93020,0.36,0.4,0.36,0.37,-0.01,31,2.64,0.14,2005,0,0.0
2005-11-18,1107,191000,74260,0.39,0.39,0.37,0.39,0.02,27,2.79,0.15,2005,0,0.0
2005-11-21,1107,99000,39980,0.38,0.41,0.38,0.41,0.02,15,2.93,0.15,2005,0,0.0
2005-11-22,1107,377000,160690,0.43,0.43,0.4,0.43,0.02,30,3.07,0.16,2005,0,0.0
2005-11-23,1107,284084,124964,0.46,0.46,0.41,0.44,0.01,85,3.14,0.17,2005,0,0.0
2005-11-24,1107,150000,66890,0.44,0.46,0.43,0.45,0.01,22,3.21,0.17,2005,0,0.0
2005-11-25,1107,268000,120080,0.45,0.45,0.44,0.45,0.0,16,3.21,0.17,2005,0,0.0
2005-11-28,1107,236000,101180,0.44,0.44,0.42,0.44,-0.01,18,3.14,0.17,2005,0,0.0
2005-11-29,1107,250000,109480,0.43,0.46,0.42,0.46,0.02,20,3.29,23.0,2005,0,0.0
2005-11-30,1107,176000,81780,0.46,0.48,0.45,0.47,0.01,16,0.0,23.5,2005,0,0.0
2005-12-01,1107,93916,41450,0.46,0.48,0.44,0.47,0.0,15,0.0,23.5,2005,0,0.0
2005-12-02,1107,68000,30480,0.45,0.45,0.44,0.44,-0.03,11,0.0,22.0,2005,0,0.0
2005-12-05,1107,220953,92568,0.44,0.45,0.41,0.45,0.01,28,0.0,22.5,2005,0,0.0
2005-12-06,1107,66000,29590,0.45,0.45,0.43,0.44,-0.01,12,0.0,22.0,2005,0,0.0
2005-12-07,1107,72998,31547,0.42,0.45,0.42,0.44,0.0,20,0.0,22.0,2005,0,0.0
2005-12-08,1107,240000,98940,0.42,0.43,0.41,0.43,-0.01,20,0.0,21.5,2005,0,0.0
2005-12-09,1107,162000,67770,0.41,0.43,0.4,0.4,-0.03,18,0.0,20.0,2005,0,0.0
2005-12-12,1107,189340,75670,0.42,0.42,0.39,0.4,0.0,35,0.0,20.0,2005,0,0.0
2005-12-13,1107,272000,111570,0.41,0.42,0.4,0.4,0.0,33,0.0,20.0,2005,0,0.0
2005-12-14,1107,334000,138220,0.4,0.42,0.4,0.42,0.02,24,0.0,21.0,2005,0,0.0
2005-12-15,1107,239596,105392,0.44,0.44,0.43,0.44,0.02,32,0.0,22.0,2005,0,0.0
2005-12-16,1107,298990,136775,0.46,0.47,0.43,0.47,0.03,43,0.0,23.5,2005,0,0.0
2005-12-19,1107,444000,213570,0.49,0.49,0.47,0.47,0.0,18,0.0,23.5,2005,0,0.0
2005-12-20,1107,81182,38435,0.47,0.48,0.45,0.48,0.01,28,0.0,24.0,2005,0,0.0
2005-12-21,1107,92769,45333,0.48,0.5,0.46,0.46,-0.02,28,0.0,23.0,2005,0,0.0
2005-12-22,1107,119950,52718,0.47,0.47,0.43,0.43,-0.03,21,0.0,21.5,2005,0,0.0
2005-12-23,1107,350000,148140,0.42,0.45,0.41,0.44,0.01,30,0.0,22.0,2005,0,0.0
2005-12-26,1107,69000,29930,0.46,0.46,0.42,0.45,0.01,18,0.0,22.5,2005,0,0.0
2005-12-27,1107,186000,83060,0.43,0.45,0.43,0.45,0.0,14,0.0,22.5,2005,0,0.0
2005-12-28,1107,18400,7947,0.43,0.45,0.43,0.45,0.0,12,0.0,22.5,2005,0,0.0
2005-12-29,1107,199000,89190,0.44,0.46,0.43,0.43,-0.02,18,0.0,21.5,2005,0,0.0
2005-12-30,1107,149800,67849,0.43,0.46,0.43,0.45,0.02,25,0.0,22.5,2005,0,0.0
2006-01-02,1107,183200,80463,0.43,0.47,0.42,0.47,0.02,25,0.0,23.5,2006,0,0.0
2006-01-03,1107,236000,107020,0.44,0.46,0.44,0.46,-0.01,21,0.0,23.0,2006,0,0.0
2006-01-04,1107,207000,95180,0.44,0.47,0.44,0.45,-0.01,21,0.0,22.5,2006,0,0.0
2006-01-05,1107,292536,127972,0.44,0.46,0.42,0.46,0.01,37,0.0,23.0,2006,0,0.0
2006-01-06,1107,307194,138362,0.44,0.46,0.44,0.46,0.0,27,0.0,23.0,2006,0,0.0
2006-01-09,1107,390000,176640,0.46,0.46,0.44,0.46,0.0,29,0.0,23.0,2006,0,0.0
2006-01-10,1107,150000,65460,0.45,0.45,0.43,0.44,-0.02,18,0.0,22.0,2006,0,0.0
2006-01-11,1107,183999,79097,0.43,0.43,0.43,0.43,-0.01,21,0.0,21.5,2006,0,0.0
2006-01-12,1107,524081,234224,0.42,0.46,0.42,0.46,0.03,120,0.0,23.0,2006,0,0.0
2006-01-13,1107,328600,144626,0.46,0.46,0.43,0.44,-0.02,38,0.0,22.0,2006,0,0.0
2006-01-16,1107,112000,49300,0.43,0.45,0.42,0.43,-0.01,12,0.0,21.5,2006,0,0.0
2006-01-17,1107,155600,66210,0.43,0.44,0.42,0.43,0.0,21,0.0,21.5,2006,0,0.0
2006-01-18,1107,178000,77020,0.44,0.44,0.42,0.44,0.01,18,0.0,22.0,2006,0,0.0
2006-01-19,1107,363000,155370,0.43,0.45,0.41,0.41,-0.03,24,0.0,20.5,2006,0,0.0
2006-01-20,1107,163520,68439,0.41,0.42,0.41,0.41,0.0,20,0.0,20.5,2006,0,0.0
2006-01-23,1107,241308,102232,0.41,0.43,0.41,0.42,0.01,43,0.0,21.0,2006,0,0.0
2006-01-24,1107,105873,45314,0.43,0.43,0.42,0.43,0.01,29,0.0,21.5,2006,0,0.0
2006-01-25,1107,127000,54510,0.42,0.43,0.42,0.43,0.0,7,0.0,21.5,2006,0,0.0
2006-02-03,1107,104553,45205,0.42,0.44,0.42,0.43,0.0,22,0.0,21.5,2006,0,0.0
2006-02-06,1107,60785,26114,0.43,0.43,0.43,0.43,0.0,11,0.0,21.5,2006,0,0.0
2006-02-07,1107,130000,55140,0.4,0.44,0.4,0.43,0.0,19,0.0,21.5,2006,0,0.0
2006-02-08,1107,126000,54380,0.42,0.44,0.42,0.43,0.0,18,0.0,21.5,2006,0,0.0
2006-02-09,1107,387153,166280,0.43,0.44,0.42,0.44,0.01,23,0.0,22.0,2006,0,0.0
